form	pos	probability	bucket	ancestor	n_langs	n_branches	gloss
Dunav	proper_noun	0.428	pregled	*Dunavь	8	3	Danube (a river in Europe; flowing 2,850 kilometers from the confluence of the B
jabluko	noun	0.428	pregled	*ablъko	9	3	apple
blha	noun	0.428	pregled	*blъxa	11	3	flea
bogyni	noun	0.428	pregled	*bogyni	8	3	goddess
bojati	verb	0.428	pregled	*bojati	7	3	to fear, to be afraid
brånj	noun	0.428	pregled	*bornь	7	3	defence, defense
bry	noun	0.428	pregled	*bry	9	3	eyebrow
cŕky	noun	0.428	pregled	*cьrky	9	3	church
dynja	noun	0.428	pregled	*dyňa	7	3	melon
deska	noun	0.428	pregled	*dъska	7	3	board, plank
dći	noun	0.428	pregled	*dъ̏ťi	7	3	daughter
gať	noun	0.428	pregled	*gatь	8	3	a causeway through swamps, made from logs or brushwood, a corduroy road
glytati	verb	0.428	pregled	*glъtati	7	3	to swallow
godina	noun	0.428	pregled	*godina	11	3	hour
grånostaj	noun	0.428	pregled	*gornostajь	7	3	stoat, ermine (Mustela erminea)
gorny	adj	0.428	pregled	*gorьnъ	7	3	upper, top
greby	noun	0.428	pregled	*greby	7	3	ridge
gręda	noun	0.428	pregled	*gręda	7	3	beam
jako	conj	0.428	pregled	*jako	9	3	if
juha	noun	0.428	pregled	*juxa	8	3	soup
istaba	noun	0.428	pregled	*jьstъba	8	3	room
iti	verb	0.428	pregled	*jьti	10	3	to go
kamy	noun	0.428	pregled	*kamy	11	3	stone
kašȯlj	noun	0.428	pregled	*kaš(ь)ľь	7	3	cough
kašȯljati	verb	0.428	pregled	*kašьľati	7	3	to cough
kory	noun	0.428	pregled	*kory	10	3	root
košara	noun	0.428	pregled	*košara	7	3	sheepfold
kremy	noun	0.428	pregled	*kremy	9	3	flint
knęgyni	noun	0.428	pregled	*kъnęgyni	7	3	princess
leći	verb	0.428	pregled	*leťi	9	3	to lie down
ličiti	verb	0.428	pregled	*ličiti	8	3	to count (to recite numbers in sequence)
lųg	noun	0.428	pregled	*lǫgъ	8	3	meadow
majati	verb	0.428	pregled	*majati	7	3	to exhaust, to harass
mrěti	verb	0.428	pregled	*merti	9	3	to die
moliti	verb	0.428	pregled	*modliti	8	3	to pray
mråv	noun	0.428	pregled	*morvъ	12	3	ant
moći	verb	0.428	pregled	*moťi	9	3	can, be able to
mrky	noun	0.428	pregled	*mъrky	11	3	carrot
najiti	verb	0.428	pregled	*najьti	7	3	to find
obuti	verb	0.428	pregled	*obuti	7	3	to put on (socks, stockings, footwear)
ognj	noun	0.428	pregled	*ogňь	12	3	fire
låbųď	noun	0.428	pregled	*olbǫdь	7	3	swan
låni	adv	0.428	pregled	*olni	8	3	last year
låčny	adj	0.428	pregled	*òlčьnъ	7	3	greedy
oloha	noun	0.428	pregled	*olьxa	9	3	alder
råť	noun	0.428	pregled	*ortь	7	3	war
otava	noun	0.428	pregled	*otava	10	3	aftergrass, aftermath; grass that comes up after mowing
ovoće	noun	0.428	pregled	*ovoťe	9	3	fruit
palica	noun	0.428	pregled	*palica	9	3	mace (weapon)
pastyrj	noun	0.428	pregled	*pastyřь	9	3	shepherd
pazduha	noun	0.428	pregled	*pazduxa	7	3	armpit
plěn	noun	0.428	pregled	*pelnъ	7	3	captivity, custody
prěpel	noun	0.428	pregled	*perpelъ	8	3	quail
pečať	noun	0.428	pregled	*pečatь	7	3	seal (an official pattern)
peći	verb	0.428	pregled	*peťi	9	3	to bake
pitje	noun	0.428	pregled	*pitьje	8	3	drink, beverage
pleće	noun	0.428	pregled	*pleťe	9	3	shoulder
plyti	verb	0.428	pregled	*plyti	7	3	to swim
plåmy	noun	0.428	pregled	*polmy	9	3	flame
plånina	noun	0.428	pregled	*polnina	7	3	mountain
post	noun	0.428	pregled	*postъ	7	3	fast (period of restricted eating)
prijti	verb	0.428	pregled	*prijьti	7	3	to come (to), to arrive (at)
pustyni	noun	0.428	pregled	*pustyni	8	3	desert
pěsnj	noun	0.428	pregled	*pěsnь	10	3	song
